Country,City,Month,Day,Year,AvgTemperature
Malawi,Lilongwe,1,1,1995,69.5
Malawi,Lilongwe,1,2,1995,69.5
Malawi,Lilongwe,1,3,1995,67.5
Malawi,Lilongwe,1,4,1995,68.5
Malawi,Lilongwe,1,5,1995,66.7
Malawi,Lilongwe,1,6,1995,68
Malawi,Lilongwe,1,7,1995,69.6
Malawi,Lilongwe,1,8,1995,70.6
Malawi,Lilongwe,1,9,1995,68.1
Malawi,Lilongwe,1,10,1995,70.2
Malawi,Lilongwe,1,11,1995,65.7
Malawi,Lilongwe,1,12,1995,67.6
Malawi,Lilongwe,1,13,1995,73.8
Malawi,Lilongwe,1,14,1995,70.6
Malawi,Lilongwe,1,15,1995,69.4
Malawi,Lilongwe,1,16,1995,68.9
Malawi,Lilongwe,1,17,1995,-99
Malawi,Lilongwe,1,18,1995,73.6
Malawi,Lilongwe,1,19,1995,69.1
Malawi,Lilongwe,1,20,1995,66.8
Malawi,Lilongwe,1,21,1995,66
Malawi,Lilongwe,1,22,1995,66.8
Malawi,Lilongwe,1,23,1995,70.5
Malawi,Lilongwe,1,24,1995,71.3
Malawi,Lilongwe,1,25,1995,71.1
Malawi,Lilongwe,1,26,1995,71.7
Malawi,Lilongwe,1,27,1995,70.7
Malawi,Lilongwe,1,28,1995,69.7
Malawi,Lilongwe,1,29,1995,70.4
Malawi,Lilongwe,1,30,1995,73.8
Malawi,Lilongwe,1,31,1995,68.1
Malawi,Lilongwe,2,1,1995,70.1
Malawi,Lilongwe,2,2,1995,71.4
Malawi,Lilongwe,2,3,1995,72.9
Malawi,Lilongwe,2,4,1995,71.3
Malawi,Lilongwe,2,5,1995,69.8
Malawi,Lilongwe,2,6,1995,71.8
Malawi,Lilongwe,2,7,1995,73.3
Malawi,Lilongwe,2,8,1995,74.2
Malawi,Lilongwe,2,9,1995,-99
Malawi,Lilongwe,2,10,1995,-99
Malawi,Lilongwe,2,11,1995,-99
Malawi,Lilongwe,2,12,1995,-99
Malawi,Lilongwe,2,13,1995,-99
Malawi,Lilongwe,2,14,1995,-99
Malawi,Lilongwe,2,15,1995,70.5
Malawi,Lilongwe,2,16,1995,70.4
Malawi,Lilongwe,2,17,1995,73.9
Malawi,Lilongwe,2,18,1995,67.8
Malawi,Lilongwe,2,19,1995,69.3
Malawi,Lilongwe,2,20,1995,72.1
Malawi,Lilongwe,2,21,1995,69
Malawi,Lilongwe,2,22,1995,67.5
Malawi,Lilongwe,2,23,1995,-99
Malawi,Lilongwe,2,24,1995,-99
Malawi,Lilongwe,2,25,1995,-99
Malawi,Lilongwe,2,26,1995,-99
Malawi,Lilongwe,2,27,1995,-99
Malawi,Lilongwe,2,28,1995,-99
Malawi,Lilongwe,3,1,1995,-99
Malawi,Lilongwe,3,2,1995,-99
Malawi,Lilongwe,3,3,1995,-99
Malawi,Lilongwe,3,4,1995,-99
Malawi,Lilongwe,3,5,1995,-99
Malawi,Lilongwe,3,6,1995,-99
Malawi,Lilongwe,3,7,1995,-99
Malawi,Lilongwe,3,8,1995,-99
Malawi,Lilongwe,3,9,1995,-99
Malawi,Lilongwe,3,10,1995,-99
Malawi,Lilongwe,3,11,1995,-99
Malawi,Lilongwe,3,12,1995,-99
Malawi,Lilongwe,3,13,1995,-99
Malawi,Lilongwe,3,14,1995,-99
Malawi,Lilongwe,3,15,1995,-99
Malawi,Lilongwe,3,16,1995,-99
Malawi,Lilongwe,3,17,1995,-99
Malawi,Lilongwe,3,18,1995,-99
Malawi,Lilongwe,3,19,1995,-99
Malawi,Lilongwe,3,20,1995,71.1
Malawi,Lilongwe,3,21,1995,-99
Malawi,Lilongwe,3,22,1995,-99
Malawi,Lilongwe,3,23,1995,-99
Malawi,Lilongwe,3,24,1995,-99
Malawi,Lilongwe,3,25,1995,-99
Malawi,Lilongwe,3,26,1995,-99
Malawi,Lilongwe,3,27,1995,-99
Malawi,Lilongwe,3,28,1995,76.5
Malawi,Lilongwe,3,29,1995,67.7
Malawi,Lilongwe,3,30,1995,70.7
Malawi,Lilongwe,3,31,1995,69.9
Malawi,Lilongwe,4,1,1995,70.5
Malawi,Lilongwe,4,2,1995,69.6
Malawi,Lilongwe,4,3,1995,67.3
Malawi,Lilongwe,4,4,1995,-99
Malawi,Lilongwe,4,5,1995,72.8
Malawi,Lilongwe,4,6,1995,71.9
Malawi,Lilongwe,4,7,1995,71.4
Malawi,Lilongwe,4,8,1995,72.3
Malawi,Lilongwe,4,9,1995,-99
Malawi,Lilongwe,4,10,1995,-99
Malawi,Lilongwe,4,11,1995,-99
Malawi,Lilongwe,4,12,1995,-99
Malawi,Lilongwe,4,13,1995,-99
Malawi,Lilongwe,4,14,1995,-99
Malawi,Lilongwe,4,15,1995,-99
Malawi,Lilongwe,4,16,1995,-99
Malawi,Lilongwe,4,17,1995,-99
Malawi,Lilongwe,4,18,1995,-99
Malawi,Lilongwe,4,19,1995,-99
Malawi,Lilongwe,4,20,1995,-99
Malawi,Lilongwe,4,21,1995,-99
Malawi,Lilongwe,4,22,1995,-99
Malawi,Lilongwe,4,23,1995,-99
Malawi,Lilongwe,4,24,1995,75.4
Malawi,Lilongwe,4,25,1995,73.5
Malawi,Lilongwe,4,26,1995,72.2
Malawi,Lilongwe,4,27,1995,71.2
Malawi,Lilongwe,4,28,1995,-99
Malawi,Lilongwe,4,29,1995,-99
Malawi,Lilongwe,4,30,1995,-99
Malawi,Lilongwe,5,1,1995,66.3
Malawi,Lilongwe,5,2,1995,74.9
Malawi,Lilongwe,5,3,1995,-99
Malawi,Lilongwe,5,4,1995,-99
Malawi,Lilongwe,5,5,1995,-99
Malawi,Lilongwe,5,6,1995,-99
Malawi,Lilongwe,5,7,1995,-99
Malawi,Lilongwe,5,8,1995,-99
Malawi,Lilongwe,5,9,1995,-99
Malawi,Lilongwe,5,10,1995,-99
Malawi,Lilongwe,5,11,1995,-99
Malawi,Lilongwe,5,12,1995,-99
Malawi,Lilongwe,5,13,1995,59.9
Malawi,Lilongwe,5,14,1995,60.7
Malawi,Lilongwe,5,15,1995,67.2
Malawi,Lilongwe,5,16,1995,61.8
Malawi,Lilongwe,5,17,1995,66.5
Malawi,Lilongwe,5,18,1995,66
Malawi,Lilongwe,5,19,1995,65.7
Malawi,Lilongwe,5,20,1995,-99
Malawi,Lilongwe,5,21,1995,-99
Malawi,Lilongwe,5,22,1995,72.2
Malawi,Lilongwe,5,23,1995,75.3
Malawi,Lilongwe,5,24,1995,71.1
Malawi,Lilongwe,5,25,1995,-99
Malawi,Lilongwe,5,26,1995,64.5
Malawi,Lilongwe,5,27,1995,69.3
Malawi,Lilongwe,5,28,1995,69.7
Malawi,Lilongwe,5,29,1995,66.4
Malawi,Lilongwe,5,30,1995,-99
Malawi,Lilongwe,5,31,1995,-99
Malawi,Lilongwe,6,1,1995,-99
Malawi,Lilongwe,6,2,1995,63.5
Malawi,Lilongwe,6,3,1995,-99
Malawi,Lilongwe,6,4,1995,66.1
Malawi,Lilongwe,6,5,1995,61.2
Malawi,Lilongwe,6,6,1995,62.5
Malawi,Lilongwe,6,7,1995,67.3
Malawi,Lilongwe,6,8,1995,64.2
Malawi,Lilongwe,6,9,1995,54.9
Malawi,Lilongwe,6,10,1995,65.8
Malawi,Lilongwe,6,11,1995,66.5
Malawi,Lilongwe,6,12,1995,65.3
Malawi,Lilongwe,6,13,1995,57.9
Malawi,Lilongwe,6,14,1995,60.5
Malawi,Lilongwe,6,15,1995,63.8
Malawi,Lilongwe,6,16,1995,61.1
Malawi,Lilongwe,6,17,1995,-99
Malawi,Lilongwe,6,18,1995,-99
Malawi,Lilongwe,6,19,1995,66
Malawi,Lilongwe,6,20,1995,58.7
Malawi,Lilongwe,6,21,1995,53.8
Malawi,Lilongwe,6,22,1995,59.2
Malawi,Lilongwe,6,23,1995,60.4
Malawi,Lilongwe,6,24,1995,63.2
Malawi,Lilongwe,6,25,1995,56.3
